,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,1.8537086,13.886134,2.9509213,0.006472874,1.1715037,0.06429283,0.88527566,1.0521889,0.3346355,8.744508,1.5847242,3.84111,0.019277725,6.11598,2.4960241,0.24798417,1.976342,4.992423,12.138469,0.7486705,4.0439906,2.8327272,2.210681,6.011058,2.831282,11.265066,16.402857,1.8979234,0.94219774,8.419556,6.97196,14.261886,10.677939,11.434103,2.5243204,7.292902,27.535479,12.36091,2.475294,38.534782,8.704345,1.3630865,11.754018,0.008242277,10.019741,0.72563034,1.0964296,6.130826,10.850946,6.3419437,0.94027925,8.695353,1.4782183,2.5801592,4.7726545,0.077158436,4.0858364,6.901795,2.1478426,3.3644183,0.0722249,0.97422653,0.7156659,0.0
1,1.9808826,12.274977,4.4708347,0.0064754896,1.2087421,0.33581725,1.3363664,3.5217297,1.306495,5.0431304,0.33834052,5.0275598,0.04895766,1.3117081,0.51150435,0.15961209,2.7666595,5.404643,8.991738,0.86525685,1.9200054,3.8248959,1.7226865,31.8021,3.9253974,5.3166194,11.9986725,1.9096429,0.06800686,9.724934,3.2245712,12.251855,36.915012,4.4823055,4.9205785,24.97823,48.13233,6.086495,8.502196,19.169682,6.661112,2.2818494,2.2944603,0.0,1.6296573,0.54800206,3.6208563,5.0387635,18.75651,12.5034895,0.37502855,0.8921429,0.7693946,0.5753871,5.659022,0.23991549,0.043700363,5.5653305,3.152662,2.1894307,1.6454046,0.19965607,3.4061713,0.010118292
2,4.7097354,11.952501,3.3889818,2.8359675,4.6513186,7.3992825,2.3415403,1.1075855,1.6145406,10.959921,0.36454216,1.8744755,1.2688681,3.1118865,0.665218,0.07826314,0.93780154,10.0046425,5.788517,2.7907493,2.1388993,2.645903,3.4672256,4.483637,6.578806,15.515866,0.6442421,6.9956946,1.5204284,55.588696,2.73588,24.701635,54.363693,3.2837567,0.0,18.01966,24.574133,3.0324025,21.803234,30.125662,2.9202151,6.187937,3.8114836,4.5336027,1.8792648,0.2757919,1.2039318,3.8349698,5.6513653,11.496566,1.7357469,5.2941675,3.4463038,1.8688512,2.6529784,1.0905148,0.02187097,3.0878868,9.413743,7.1770215,1.4353673,5.293661,2.4963741,0.11058594
3,29.754719,70.27472,0.1396051,11.314159,7.2379775,0.15722391,0.0,0.0,1.7960837,54.810333,0.0,0.0015373374,0.0,0.08872171,0.0035806764,0.033967983,0.0,52.31954,13.769315,0.09649915,0.48161715,15.931611,29.14194,40.95852,0.48250437,42.957756,2.4254835,5.4789276,0.0,12.739783,3.00611,83.0799,159.52803,0.41613042,10.431212,74.0202,44.781105,0.31713933,189.98802,105.11671,0.007406816,0.09089076,0.0,0.19539022,0.23651844,0.0,31.984854,10.975666,8.696586,45.43058,0.0030301958,0.21708342,0.061911136,0.120773196,9.76116,1.4163966,0.004154415,0.0,14.11171,50.84006,0.014278468,0.58658737,0.0,0.0072431588
4,1.3181387,7.8953414,5.861683,0.42706764,3.4475532,5.693625,2.2874954,3.0420759,0.518345,3.488017,0.63632965,3.2356606,0.21674564,1.5869994,0.9075274,0.18028834,1.2300138,4.500708,3.6219437,2.2897856,2.6458514,2.1761172,2.708835,10.020773,5.328855,8.941711,4.828843,6.004748,0.69863296,31.605307,5.9314604,18.248482,29.887806,4.6020513,5.789011,25.356495,31.465027,4.343841,6.532571,25.88617,6.2716074,4.762331,9.41861,0.14188226,3.8562474,0.1454042,0.48605934,4.597243,10.78483,7.6533833,0.9143547,3.4406219,3.6980834,0.7757502,1.6998404,0.26159382,1.1922928,1.5575117,3.3647628,1.9156315,1.3696085,1.3323243,3.172892,0.12471954
5,2.0656888,16.116377,2.3463378,0.0,1.006718,0.4366656,1.3171287,3.8589044,1.9012488,5.9452815,0.21823822,5.012139,0.19694857,1.13216,0.62329805,0.2109296,2.7015646,5.6303835,11.137948,1.464165,1.878997,5.8407345,1.2631919,37.59592,3.2958486,6.8850384,13.292414,1.5873569,0.1851294,4.23159,2.4091277,12.76415,39.10939,4.3220925,6.9157524,22.497498,50.8406,8.126429,12.400864,18.63969,7.008668,3.1283538,1.6399803,0.02798705,1.1151062,0.99229264,3.8764114,4.7812157,16.937662,13.246246,0.40750846,0.47434014,0.43572044,0.8061881,8.045796,0.5383389,0.029121827,6.9508038,3.86181,2.0083427,1.8057668,0.18224722,3.2235122,0.035952106
6,4.1418405,7.119607,6.4691057,0.46222258,1.7815633,0.5477845,1.9232553,1.0722471,1.061476,1.842011,0.55135435,2.6888413,0.1925222,1.3221588,0.5061622,0.15432598,1.8537219,6.295532,1.9753146,2.4747138,1.94823,5.819066,4.2948112,8.533593,24.392998,19.552147,8.770101,13.222313,1.7598773,6.291885,5.5587254,19.937471,33.039917,10.957354,3.6677358,17.503983,42.198807,1.9664828,8.0100765,17.509962,7.5763764,3.031419,2.7986875,0.42368925,1.4599867,0.7828063,3.5717537,4.2352204,4.726017,3.168911,0.96772236,2.5864334,0.90914047,1.6632979,0.78669953,0.32855797,0.16082521,1.85627,2.0489295,0.66751194,0.85207903,0.522549,1.8628818,0.29692805
7,2.5744963,11.4053,3.6850991,1.2285779,3.1481662,1.3519446,1.2498693,1.6422243,0.9541722,3.8764815,0.7849282,0.3957419,1.0075544,2.107489,1.0337105,0.0,0.46174634,4.5568285,2.5225945,2.4253159,2.9799373,7.703082,5.4264784,1.3928685,13.4200535,18.12244,5.6702967,15.491707,0.6250299,18.966541,6.4380703,19.1693,31.346645,9.534533,2.383625,17.62017,30.29775,1.2778369,10.241646,25.783134,6.8829455,2.5887346,2.534422,0.60897034,3.5405178,0.11559534,2.0236046,4.4493585,3.6211052,6.258275,1.4668442,4.030605,1.8223,2.422043,1.8691721,0.4383428,0.16702029,2.3292072,2.8804836,3.562222,0.77639943,1.8306451,0.52628434,0.09687289
8,2.1811197,6.7450676,7.9219294,0.82356864,4.904833,10.029091,2.6010084,3.7658405,0.6618004,4.0437164,0.7812183,1.0566533,1.5641997,2.238995,1.40205,0.0,0.30333412,5.9719515,3.303971,3.3162515,2.8971586,0.3894121,1.4022889,4.966731,3.3788843,13.6431875,1.6404645,9.928681,1.0322742,45.318893,6.5516925,18.979448,28.00446,4.352703,2.6823823,20.597872,29.459852,2.3879435,6.3532505,23.119293,3.383271,6.113634,8.419982,0.34933037,4.926482,0.08554056,0.03242332,4.3814764,7.8401275,9.416955,1.3996612,5.72177,6.491258,1.0532706,2.2870264,0.44306266,0.042762183,1.721454,4.8448334,2.1415608,1.8375374,2.8723106,5.0126896,0.1499918
9,6.194165,15.150071,4.384948,2.9842603,5.8026314,5.8979797,2.2117887,1.5019718,1.5423884,12.130808,0.40495855,2.0109005,0.029153168,1.8798923,0.75543314,0.1398187,1.1713812,14.710851,4.0970936,1.1925753,1.1528965,1.4043587,8.12108,15.336296,5.8227587,16.936382,3.205211,1.7285876,0.5129554,56.75973,2.261664,38.962486,79.01137,2.4729493,2.8431242,32.64846,29.619295,6.9685664,38.481155,28.008984,2.4888434,3.3472002,6.1431046,2.7883885,0.5747311,0.6153915,3.566635,5.2748337,11.818646,15.119177,0.60983956,1.7272695,3.0119684,0.68196774,2.4486928,0.75648195,0.16276626,2.337204,10.899079,7.7120857,1.0284988,2.430471,7.360061,0.11013064
