,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,4.880414,15.062459,2.2504768,1.6453751,3.1121333,1.8633026,0.82001114,0.9023363,0.7612171,3.3273273,0.71665096,1.0463767,0.43558618,0.3364628,0.266375,0.3578955,0.3085974,5.6833496,0.046173904,1.2969408,2.1680822,17.18649,7.433093,2.6871736,5.8573823,32.350567,3.7583225,17.875908,0.74648976,4.68146,11.661757,31.256674,62.926243,7.50015,7.368934,20.60867,40.168907,2.9098015,22.887465,20.15022,8.440826,1.2570648,0.8716401,0.0053683836,1.9355286,0.46651492,4.9277964,4.0918784,0.8972053,0.9709898,0.5183781,2.1284275,0.37261438,0.3304451,1.099166,0.10729213,0.3447116,2.3688126,2.258028,4.3989563,1.1787324,0.031133696,0.95892847,0.473102
1,7.3154316,17.68887,1.9578995,3.2004268,4.546115,4.5043683,0.7971946,0.52359796,1.1000473,10.549844,0.34112245,0.7443813,0.22356199,0.61196905,0.40423596,0.05644171,0.31532523,13.539207,2.8013868,0.98728114,1.5950161,2.6858633,6.522359,9.633565,3.433744,24.013697,1.1039774,6.9288473,0.9906132,47.286884,4.201847,35.15857,82.052055,3.111556,1.7705035,27.308207,30.875286,6.2396636,39.865875,21.642717,3.4201934,2.7822008,1.1885475,2.2460356,2.0378127,0.27033746,4.1832943,5.433363,7.826774,12.737593,0.3494017,3.2439804,1.6715745,0.21308887,1.2466578,0.4103312,0.15874058,0.98014283,9.339459,8.247599,0.5467925,3.3788102,6.883031,0.0677798
2,0.86316633,14.304527,2.5053017,0.039933413,2.2217376,1.3864549,2.2265222,3.1380782,1.3576468,4.12591,0.3981406,4.0831394,0.28080928,1.1508102,0.6666378,0.37610918,2.5842485,3.2047417,4.279413,1.2514075,2.435878,4.7946806,1.0320339,23.021828,1.9168224,9.490156,9.662884,6.8268423,0.13517717,7.1856728,4.4921207,15.762899,46.870274,4.3548794,5.407942,26.255468,43.689102,7.557131,12.004423,16.362267,10.621504,3.3640516,2.155476,0.17187741,1.0503929,1.3218504,1.4305484,3.5078223,6.355417,2.1674054,0.86961365,0.8404328,0.82763314,1.0872784,3.269591,0.3733306,0.033804696,4.748493,2.3421924,1.6169417,2.01198,0.34581488,0.839205,0.07226013
3,0.9266017,4.55674,7.5181904,0.26123086,4.531769,6.1888046,4.26823,3.517137,1.7633599,2.3834355,0.63830864,2.928396,0.9345341,1.9546337,1.0895698,0.06627299,1.9966744,2.1648717,1.8192275,3.4052782,2.7020485,3.8712125,1.3282137,9.272059,4.6165295,10.400613,6.312807,6.9576626,1.3986876,25.585646,4.4860606,15.6854515,22.899101,4.331369,5.389758,25.229475,30.964659,4.5774612,2.6718893,16.630295,9.567039,8.757806,8.096884,1.9361285,1.2594934,0.5266855,0.23672204,3.234997,6.9062214,5.873743,2.5546668,2.6537132,3.5084822,2.8467607,1.2529391,0.73321146,0.37615234,2.0278451,3.9077735,1.2351954,1.5568733,1.2097036,2.506297,0.076634556
4,4.033207,10.789947,2.7842388,0.8352652,1.796258,0.8286043,0.7737971,1.033223,0.6649815,1.1190312,0.5738967,1.7137116,0.42638314,0.30135348,0.224932,0.6630906,0.96638995,3.6860223,0.55115795,2.0325263,3.0071762,14.095097,5.5164194,6.4447002,12.942119,31.843584,4.659898,13.465193,3.140571,5.5069957,11.989527,25.469135,50.512978,8.129735,9.696747,18.06229,44.283344,4.033609,15.417305,18.401579,9.34011,0.53397775,0.62553024,0.019776318,2.1131291,1.0341763,3.6347096,3.5776203,1.830843,0.6817599,0.49384987,1.6044407,0.11073531,0.33196288,0.9775829,0.1438879,0.17598945,2.801516,1.589606,0.9530861,0.7402477,0.0015422106,1.593278,0.1902218
5,8.647831,21.845943,2.2577772,4.4165854,4.885549,6.637404,0.20142233,0.33895737,1.160362,13.390888,0.09653635,0.2399827,0.005520341,0.51027894,0.16216473,0.037429124,0.12803237,17.06002,3.2951124,0.5410569,1.201186,1.1102157,9.268542,6.2688117,3.2002852,22.239828,0.54384476,4.2171946,0.5290932,69.06558,4.029657,45.26789,105.61493,1.1132118,0.4970159,34.84778,26.889853,5.773915,51.686977,27.305515,1.4045027,3.3261724,1.3963784,4.2981153,1.2144809,0.10016657,4.808331,6.5765367,7.7115684,15.011762,0.08296585,3.4913476,1.9959133,0.029660536,1.0296156,0.61941576,0.23111191,0.38657483,12.136255,10.806853,0.7118796,5.0055504,8.73017,0.1921688
6,2.4550886,17.400955,2.5766892,0.905298,3.6257756,1.1952785,0.6178404,1.9456428,0.44204873,2.2460427,0.50552183,0.5260665,0.24465518,0.18450254,0.57719904,0.08548024,0.4259345,2.8902488,0.054250523,1.5249704,2.4496875,6.813142,2.901946,8.529604,2.9487586,26.031334,6.807431,17.775307,0.7020736,8.142574,8.43294,27.905027,65.389534,6.3833365,5.238667,28.207314,41.23924,6.419251,19.160944,18.12305,11.874415,2.2045636,0.6488913,0.056367896,1.7302829,0.31681415,3.276249,3.6996412,0.33283782,0.17148119,0.4636502,0.9594965,0.6915529,0.3286786,0.38353524,0.117931515,0.12718561,1.0860764,2.7510324,1.9911852,1.039346,0.10758957,0.76824445,0.18940225
7,5.754839,17.656069,2.060583,1.7884302,3.1335092,0.7876201,0.18829384,0.31380987,0.40112954,4.3583703,0.61679184,0.18494487,0.09449659,1.1949106,0.6862168,0.09793488,0.16323803,6.0899186,2.294358,1.7503331,3.3011725,2.8020647,3.1530697,2.2472694,10.976939,16.601805,6.1140766,16.464384,0.83949333,7.113603,14.198014,27.32306,55.770817,9.226407,0.5498541,6.906619,39.187332,2.5405571,14.695569,41.817146,13.7581415,0.84386146,1.3917142,0.0,2.969184,0.05424695,4.525104,3.271134,1.0528864,1.8588946,0.46706885,1.3961177,0.33561414,0.28964108,1.3647698,0.052312978,0.5872865,2.2593377,3.786967,3.1903384,1.1851697,0.7058978,1.1362135,0.2826675
8,7.1174936,28.925482,1.1315069,2.7798676,2.7274687,0.008423161,0.47198522,0.44339928,0.9838953,15.42567,0.0983193,1.6960257,0.074649975,0.4655745,0.13340338,0.4605687,1.132201,12.80743,6.238123,0.10543039,1.4925513,18.406063,13.026531,18.508087,4.3504233,17.736547,5.0686436,2.423174,0.5555306,3.330581,3.821965,36.48056,50.17373,1.6144127,15.394805,46.679203,41.042076,2.0686133,45.273655,52.65245,1.5858077,0.9041058,0.3609729,0.09385095,1.3566355,0.6774954,9.060146,5.1588154,3.2300634,15.537901,0.07030092,0.79707617,0.13977829,0.46174857,5.6813903,0.18282482,0.38912287,1.4868481,3.7099488,15.330164,0.2519967,0.1000352,0.009858484,0.0031118237
9,1.6284498,15.964999,3.2939954,0.46063125,1.991677,2.3987756,1.0419731,3.2966886,0.88634336,4.34104,0.22634397,2.5660372,0.08720642,1.2849628,0.47748044,0.3414203,1.0467741,4.4913535,3.1889915,1.0659759,1.9405364,2.6387632,2.17305,22.11954,3.1713312,15.300386,5.8612013,4.1796737,0.86203986,27.090534,3.7926013,20.297956,48.677917,4.246677,9.539968,33.382423,40.83368,8.89127,12.283681,19.617954,2.4389155,2.9712949,3.1798453,0.24377753,3.4813423,0.29789972,0.7406153,4.374619,7.6478896,8.930669,0.38501522,1.6284517,1.9371111,0.34252033,3.420106,0.2998029,0.29300272,3.5609107,4.049275,1.740201,1.3389949,1.1518258,4.2303286,0.14926095
